0,-1.71509122005483,-1.64413645659075,-2.20208266668221,-2.3640253616612,-0.920695317672067,-0.0662981720095691,1
0.002,-1.71509122005483,-1.64413645659075,-2.20208266668221,-2.3640253616612,-0.920695317672067,-0.0662981720095691,1
0.004,-1.71509122005483,-1.64413645659075,-2.20208266668221,-2.3640253616612,-0.920695317672067,-0.0662981720095691,1
0.006,-1.71509122005483,-1.64413645659075,-2.20208266668221,-2.3640253616612,-0.920695317672067,-0.0662981720095691,1
0.008,-1.71508429678232,-1.64413673054859,-2.20208253355032,-2.36402483720013,-0.920688412808554,-0.0662988058376537,1
0.01,-1.71507968124892,-1.64413691996335,-2.20208245410314,-2.36402447146979,-0.920683809547996,-0.066299228395831,1
0.012,-1.7150739118382,-1.64413715673975,-2.20208235478685,-2.36402401430238,-0.920678055478424,-0.0662997565966979,1
0.014,-1.71506698858148,-1.64413744092,-2.20208223555327,-2.3640234657027,-0.920671150631143,-0.0663003904399759,1
0.016,-1.71505891149853,-1.64413777253066,-2.20208209637291,-2.36402282567122,-0.920663095025968,-0.0663011299269976,1
0.018,-1.71504968061242,-1.64413815160273,-2.20208193721138,-2.36402209420844,-0.920653888686017,-0.0663019750593485,1
0.02,-1.71503929594953,-1.64413857817161,-2.20208175802939,-2.3640212713149,-0.920643531637712,-0.0663029258388668,1
0.022,-1.71502775753952,-1.64413905227715,-2.20208155878276,-2.36402035699117,-0.920632023910782,-0.0663039822676438,1
0.024,-1.71501506541535,-1.64413957396362,-2.20208133942241,-2.36401935123781,-0.920619365538259,-0.0663051443480233,1
0.026,-1.71500121961329,-1.64414014327972,-2.20208109989436,-2.36401825405546,-0.92060555655648,-0.0663064120826023,1
0.028,-1.7149862201729,-1.64414076027855,-2.20208084013973,-2.36401706544474,-0.920590597005093,-0.0663077854742305,1
0.03,-1.71497006713704,-1.64414142501767,-2.20208056009476,-2.36401578540635,-0.920574486927046,-0.0663092645260103,1
0.032,-1.71495276055187,-1.64414213755904,-2.20208025969079,-2.36401441394096,-0.920557226368599,-0.066310849241297,1
0.034,-1.71493430046686,-1.64414289796905,-2.20207993885424,-2.36401295104932,-0.920538815379319,-0.0663125396236987,1
0.036,-1.71491468693475,-1.64414370631854,-2.20207959750666,-2.36401139673217,-0.92051925401208,-0.0663143356770763,1
0.038,-1.71489392001163,-1.64414456268274,-2.20207923556469,-2.36400975099029,-0.920498542323065,-0.0663162374055434,1
0.04,-1.71487199975685,-1.64414546714131,-2.20207885294009,-2.36400801382451,-0.920476680371768,-0.0663182448134667,1
0.042,-1.71484892623308,-1.64414641977836,-2.2020784495397,-2.36400618523566,-0.920453668220995,-0.0663203579054651,1
0.044,-1.7148246995063,-1.64414742068241,-2.20207802526548,-2.3640042652246,-0.92042950593686,-0.0663225766864108,1
0.046,-1.71479931964579,-1.64414846994639,-2.20207758001449,-2.36400225379223,-0.92040419358879,-0.0663249011614285,1
0.048,-1.71477278672413,-1.64414956766767,-2.20207711367889,-2.36400015093948,-0.920377731249529,-0.0663273313358955,1
0.05,-1.71474510081721,-1.64415071394804,-2.20207662614594,-2.3639979566673,-0.92035011899513,-0.0663298672154419,1
0.052,-1.71471626200424,-1.64415190889373,-2.20207611729803,-2.36399567097668,-0.920321356904964,-0.0663325088059508,1
0.054,-1.71468627036771,-1.64415315261535,-2.20207558701263,-2.36399329386863,-0.920291445061716,-0.0663352561135577,1
0.056,-1.71465512599345,-1.644154445228,-2.20207503516231,-2.36399082534418,-0.920260383551392,-0.0663381091446508,1
0.058,-1.71462282897058,-1.64415578685113,-2.20207446161477,-2.3639882654044,-0.920228172463311,-0.066341067905871,1
0.06,-1.71458937939155,-1.64415717760867,-2.20207386623278,-2.36398561405041,-0.920194811890116,-0.066344132404112,1
0.062,-1.71455477735211,-1.64415861762895,-2.20207324887425,-2.36398287128331,-0.920160301927768,-0.0663473026465198,1
0.064,-1.71451902295132,-1.64416010704471,-2.20207260939217,-2.36398003710427,-0.92012464267555,-0.0663505786404934,1
0.066,-1.71448211629157,-1.64416164599315,-2.20207194763465,-2.36397711151449,-0.920087834236069,-0.0663539603936842,1
0.068,-1.71444405747857,-1.64416323461585,-2.20207126344488,-2.36397409451517,-0.920049876715256,-0.0663574479139963,1
0.07,-1.71440484662132,-1.64416487305884,-2.20207055666119,-2.36397098610756,-0.920010770222367,-0.0663610412095863,1
0.072,-1.71436448383217,-1.64416656147257,-2.20206982711699,-2.36396778629294,-0.919970514869987,-0.0663647402888633,1
0.074,-1.71432296922678,-1.6441683000119,-2.2020690746408,-2.36396449507263,-0.919929110774027,-0.0663685451604893,1
0.076,-1.71428030292413,-1.64417008883611,-2.20206829905625,-2.36396111244795,-0.91988655805373,-0.0663724558333783,1
0.078,-1.71423648504653,-1.64417192810892,-2.20206750018208,-2.36395763842027,-0.919842856831669,-0.0663764723166974,1
0.08,-1.71419151571961,-1.64417381799845,-2.20206667783211,-2.363954072991,-0.919798007233753,-0.0663805946198657,1
0.082,-1.71414539507233,-1.64417575867725,-2.2020658318153,-2.36395041616157,-0.919752009389223,-0.066384822752555,1
0.084,-1.71409812323698,-1.64417775032229,-2.2020649619357,-2.36394666793343,-0.919704863430655,-0.0663891567246897,1
0.086,-1.71404970034918,-1.64417979311496,-2.20206406799246,-2.36394282830809,-0.919656569493969,-0.0663935965464462,1
0.088,-1.71400012654788,-1.64418188724107,-2.20206314977983,-2.36393889728706,-0.919607127718419,-0.0663981422282539,1
0.09,-1.71394940197537,-1.64418403289085,-2.2020622070872,-2.36393487487191,-0.919556538246602,-0.0664027937807942,1
